ID,sepallength,sepalwidth,petallength,petalwidth,class
1,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
2,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
3,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
4,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
5,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
6,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
7,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
8,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
9,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
10,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
11,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
12,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
13,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
14,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
15,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
16,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
17,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
18,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
19,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
20,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
21,"(5.1, 5.8]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
22,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
23,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
24,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
25,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(1.6, 4.35]","(0.099, 0.3]",Iris-setosa
26,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
27,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
28,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
29,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
30,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
31,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
32,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
33,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
34,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
35,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
36,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
37,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
38,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
39,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
40,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
41,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
42,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
43,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
44,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.3, 1.3]",Iris-setosa
45,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(1.6, 4.35]","(0.3, 1.3]",Iris-setosa
46,"(4.2989999999999995, 5.1]","(2.8, 3.0]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
47,"(4.2989999999999995, 5.1]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
48,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
49,"(5.1, 5.8]","(3.3, 4.4]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
50,"(4.2989999999999995, 5.1]","(3.0, 3.3]","(0.999, 1.6]","(0.099, 0.3]",Iris-setosa
51,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
52,"(5.8, 6.4]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
53,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
54,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
55,"(6.4, 7.9]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
56,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(0.3, 1.3]",Iris-versicolor
57,"(5.8, 6.4]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
58,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
59,"(6.4, 7.9]","(2.8, 3.0]","(4.35, 5.1]","(0.3, 1.3]",Iris-versicolor
60,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(1.3, 1.8]",Iris-versicolor
61,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
62,"(5.8, 6.4]","(2.8, 3.0]","(1.6, 4.35]","(1.3, 1.8]",Iris-versicolor
63,"(5.8, 6.4]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
64,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
65,"(5.1, 5.8]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
66,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
67,"(5.1, 5.8]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
68,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
69,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
70,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
71,"(5.8, 6.4]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
72,"(5.8, 6.4]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
73,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
74,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(0.3, 1.3]",Iris-versicolor
75,"(5.8, 6.4]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
76,"(6.4, 7.9]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
77,"(6.4, 7.9]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
78,"(6.4, 7.9]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
79,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
80,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
81,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
82,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
83,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
84,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
85,"(5.1, 5.8]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
86,"(5.8, 6.4]","(3.3, 4.4]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
87,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
88,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(0.3, 1.3]",Iris-versicolor
89,"(5.1, 5.8]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
90,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
91,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(0.3, 1.3]",Iris-versicolor
92,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-versicolor
93,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
94,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
95,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
96,"(5.1, 5.8]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
97,"(5.1, 5.8]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
98,"(5.8, 6.4]","(2.8, 3.0]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
99,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
100,"(5.1, 5.8]","(1.999, 2.8]","(1.6, 4.35]","(0.3, 1.3]",Iris-versicolor
101,"(5.8, 6.4]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
102,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
103,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
104,"(5.8, 6.4]","(2.8, 3.0]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
105,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
106,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
107,"(4.2989999999999995, 5.1]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
108,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
109,"(6.4, 7.9]","(1.999, 2.8]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
110,"(6.4, 7.9]","(3.3, 4.4]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
111,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
112,"(5.8, 6.4]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
113,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
114,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
115,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
116,"(5.8, 6.4]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
117,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
118,"(6.4, 7.9]","(3.3, 4.4]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
119,"(6.4, 7.9]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
120,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
121,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
122,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
123,"(6.4, 7.9]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
124,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
125,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
126,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
127,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
128,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
129,"(5.8, 6.4]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
130,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
131,"(6.4, 7.9]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
132,"(6.4, 7.9]","(3.3, 4.4]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
133,"(5.8, 6.4]","(1.999, 2.8]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
134,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
135,"(5.8, 6.4]","(1.999, 2.8]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
136,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
137,"(5.8, 6.4]","(3.3, 4.4]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
138,"(5.8, 6.4]","(3.0, 3.3]","(5.1, 6.9]","(1.3, 1.8]",Iris-virginica
139,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
140,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
141,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
142,"(6.4, 7.9]","(3.0, 3.3]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
143,"(5.1, 5.8]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
144,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
145,"(6.4, 7.9]","(3.0, 3.3]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
146,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
147,"(5.8, 6.4]","(1.999, 2.8]","(4.35, 5.1]","(1.8, 2.5]",Iris-virginica
148,"(6.4, 7.9]","(2.8, 3.0]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
149,"(5.8, 6.4]","(3.3, 4.4]","(5.1, 6.9]","(1.8, 2.5]",Iris-virginica
150,"(5.8, 6.4]","(2.8, 3.0]","(4.35, 5.1]","(1.3, 1.8]",Iris-virginica
